index	sample
447	['CNhs10839', 'CNhs11091', 'CNhs11991', 'CNhs12049']
448	['CNhs12597', 'CNhs12569', 'CNhs13076']
449	['CNhs11921', 'CNhs11927']
450	['CNhs11755']
451	['CNhs11869']
452	['CNhs11744']
453	['CNhs13807', 'CNhs12227', 'CNhs14222']
454	['CNhs11764']
455	['CNhs14077']
456	['CNhs10631']
457	['CNhs10651']
458	['CNhs10741']
459	['CNhs11739', 'CNhs14240']
460	['CNhs11771']
461	['CNhs12852']
462	['CNhs13803', 'CNhs12318', 'CNhs14224']
463	['CNhs11753']
464	['CNhs14076']
465	['CNhs11068', 'CNhs11992', 'CNhs12050']
466	['CNhs10637']
467	['CNhs11772', 'CNhs12996']
468	['CNhs12639', 'CNhs12640', 'CNhs12641']
469	['CNhs11890']
470	['CNhs10632', 'CNhs12998']
471	['CNhs13794', 'CNhs12314', 'CNhs14223', 'CNhs14551']
472	['CNhs14084']
473	['CNhs12858']
474	['CNhs11254']
475	['CNhs11770']
476	['CNhs14139']
477	['CNhs10633']
478	['CNhs10650']
479	['CNhs11872']
480	['CNhs10634']
481	['CNhs11769']
482	['CNhs13460']
483	['CNhs12853']
484	['CNhs11768']
485	['CNhs11892']
486	['CNhs10654']
487	['CNhs11340', 'CNhs12097', 'CNhs12124']
488	['CNhs10635']
489	['CNhs11766']
490	['CNhs11092', 'CNhs11993', 'CNhs12051']
491	['CNhs11883']
492	['CNhs11765']
493	['CNhs13464']
494	['CNhs10843', 'CNhs11334', 'CNhs12091', 'CNhs12122']
495	['CNhs11676']
496	['CNhs11848']
497	['CNhs11763']
498	['CNhs12854']
499	['CNhs12844']
500	['CNhs11675', 'CNhs11671', 'CNhs11948', 'CNhs11075', 'CNhs11076', 'CNhs11672', 'CNhs11673', 'CNhs11949']
501	['CNhs11813']
502	['CNhs11842']
503	['CNhs10731']
504	['CNhs12331', 'CNhs12332', 'CNhs12333']
505	['CNhs14241']
506	['CNhs11732']
507	['CNhs10728']
508	['CNhs11844']
509	['CNhs11885']
510	['CNhs11715']
511	['CNhs11046']
512	['CNhs12325', 'CNhs12326', 'CNhs12327']
513	['CNhs12328', 'CNhs12329', 'CNhs12330']
514	['CNhs11894']
515	['CNhs11728']
516	['CNhs11828']
517	['CNhs11733']
518	['CNhs12191']
519	['CNhs11880']
520	['CNhs11945']
521	['CNhs13055']
522	['CNhs13504']
523	['CNhs11287']
524	['CNhs11824']
525	['CNhs10746']
526	['CNhs11857']
527	['CNhs12192']
528	['CNhs11814']
529	['CNhs11854']
530	['CNhs11835']
531	['CNhs11837']
532	['CNhs11836']
533	['CNhs11856']
534	['CNhs11247']
535	['CNhs14239']
536	['CNhs11290']
537	['CNhs11183', 'CNhs11245']
538	['CNhs11244']
539	['CNhs10735']
540	['CNhs11717']
541	['CNhs11822']
542	['CNhs10732']
543	['CNhs11860']
544	['CNhs11944']
545	['CNhs11827']
546	['CNhs11829']
547	['CNhs11718']
548	['CNhs10750']
549	['CNhs11283']
